 против 	 against 	 preposition 
 Танзания 	 Tanzania ; United Republic of Tanzania 	 state 
 озеро 	 lake 	 nature 
 экономика 	 economics ; economic science ; political economy 	 mathematics 
 шоколад 	 chocolate 	 food 
 Сомали 	 Somalia 	 country 
 Южная Корея 	 South Korea ; Republic of Korea 	
 орёл 	 eagle ; bird of Jove 	 animal 
 геометрия 	 geometry 	 mathematics 
 Мьянма 	 Myanmar ; Union of Burma ; Burma 	 state 
 11 сентября 	 9/11 ; 9-11 ; September 11 ; Sept. 11 ; Sep 11 	
 Парагвай 	 Paraguay ; Republic of Paraguay 	 country 
 Мальта 	 Malta ; Republic of Malta 	 country 
 вселенная 	 universe ; existence ; creation ; world ; cosmos ; macrocosm 	 astronomy 
 алмаз 	 diamond 	 chemistry 
 Уругвай 	 Uruguay 	 country 
 лингвистика ; языкознание ; языковедение 	 linguistics 	 linguistics 
 Гамбия 	 Gambia ; The Gambia ; Republic of The Gambia 	 state 
 Андорра 	 Andorra ; Principality of Andorra 	 country 
 Северная Америка 	 North America 	
 Иордания 	 Jordan ; Hashemite Kingdom of Jordan 	 country 
 Южная Америка 	 South America 	
 немец 	 German ; High German ; German language 	 linguistics 
 Саудовская Аравия 	 Saudi Arabia ; Kingdom of Saudi Arabia 	 country 
 Босния и Герцеговина 	 Bosnia and Herzegovina ; Republic of Bosnia and Herzegovina ; Bosna i Hercegovina ; Bosnia-Herzegovina ; Bosnia 	 country 
 Словакия 	 Slovakia ; Slovak Republic 	 country 
 анатомия 	 anatomy ; general anatomy 	 biology 
 слон 	 elephant 	 animal 
 мышь 	 mouse 	 animal 
 Аляска 	 Alaska ; Last Frontier ; AK 	
 Камерун 	 Cameroon ; Republic of Cameroon ; Cameroun 	 country 
 Либерия 	 Liberia ; Republic of Liberia 	 country 
 автомобиль ; машина 	 car ; auto ; automobile ; machine ; motorcar 	 transport 
 Непал 	 Nepal ; Kingdom of Nepal 	 country 
 Бенин 	 Benin ; Republic of Benin ; Dahomey 	 country 
 социология 	 sociology 	
 Замбия 	 Zambia ; Republic of Zambia ; Northern Rhodesia 	 country 
 парис 	 Paris ; City of Light ; French capital ; capital of France 	 capital_city 
 Фиджи 	 Fiji ; Republic of Fiji 	 country 
 зоология 	 zoology ; zoological science 	 biology 
 Панама 	 Panama ; Republic of Panama 	 country 
 Монголия 	 Mongolia ; Mongolian People's Republic ; Outer Mongolia 	 country 
 Ботсвана 	 Botswana ; Republic of Botswana 	 country 
 демократия 	 democracy 	
 Буркина Фасо 	 Burkina Faso ; Upper Volta 	 country 
 алгебра 	 algebra 	 mathematics 
 Ватикан 	 Vatican City ; Citta del Vaticano 	
 Эритрея 	 Eritrea ; State of Eritrea 	 country 
 статистика 	 statistics 	 mathematics 
 римск. сатурн 	 Saturn 	
 ЮАР 	 South Africa ; Republic of South Africa 	 country 
 Малави 	 Malawi ; Republic of Malawi ; Nyasaland 	 country 
 Мали 	 Mali ; Republic of Mali ; French Sudan 	 country 
 лимон 	 lemon 	 food 
 Маврикий 	 Mauritius ; Republic of Mauritius 	 country 
 Чад 	 Chad ; Republic of Chad ; Tchad 	 country 
 измерительный прибор 	 meter ; metre ; m 	 mechanical_engineering 
 Сирия 	 Syria ; Syrian Arab Republic 	 country 
 Малайзия 	 Malaysia ; Malaya 	 country 
 театр 	 theater ; theatre ; house 	 city 
 Мальдивы 	 Maldives ; Republic of Maldives 	 country 
 Гаити 	 Haiti ; Republic of Haiti 	 country 
 доктор ; лекарь 	 doctor ; doc ; physician ; MD ; Dr. ; medico 	 profession 
 Уганда 	 Uganda ; Republic of Uganda 	 country 
 Намибия 	 Namibia ; Republic of Namibia ; South West Africa 	 country 
 Узбекистан 	 Uzbekistan ; Republic of Uzbekistan ; Uzbek 	 country 
 Леонардо да Винчи 	 Leonardo ; Leonardo da Vinci ; da Vinci 	 person 
 КНДР 	 North Korea ; Democratic People's Republic of Korea ; D.P.R.K. ; DPRK 	
 Гитлер, Адольф 	 Hitler ; Adolf Hitler ; Der Fuhrer 	 person 
 Ливия 	 Libya ; Socialist People's Libyan Arab Jamahiriya 	
 Ньютон, Исаак 	 Newton ; Isaac Newton ; Sir Isaac Newton 	 mathematics 
 архитектура ; зодчество 	 architecture 	 construction 
 Гондурас 	 Honduras ; Republic of Honduras 	 country 
 сера 	 sulfur ; S ; sulphur ; atomic number 16 	 nature 
 Турция 	 Turkey ; Republic of Turkey 	 country 
 Люксембург 	 Luxembourg ; Grand Duchy of Luxembourg ; Luxemburg 	 country 
 Океания 	 Oceania ; Oceanica 	
 кролик 	 rabbit ; coney ; cony 	 animal 
 Внутреннее море 	 Mediterranean ; Mediterranean Sea 	
 синий цвет 	 blue ; blueness 	 color 
 Варшава 	 Warszawa ; Warsaw ; capital of Poland 	 capital_city 
 Индийский океан 	 Indian Ocean 	
 Кипр 	 Cyprus ; Republic of Cyprus 	 country 
 Моцарт, Вольфганг Амадей 	 Mozart ; Wolfgang Amadeus Mozart 	 person 
 Джибути 	 Djibouti ; Republic of Djibouti ; Afars and Issas 	 country 
 Калифорния 	 California ; Golden State ; CA ; Calif. 	
 Арабская Республика Египет 	 Egypt ; Arab Republic of Egypt ; United Arab Republic 	 country 
 Мозамбик 	 Mozambique ; Republic of Mozambique ; Mocambique 	 country 
 Шотландия 	 Scotland 	
 Тихий океан 	 Pacific ; Pacific Ocean 	
 культура 	 culture ; civilization ; civilisation 	 society 
 теннис 	 tennis ; lawn tennis 	 sports 
 Марокко 	 Morocco ; Kingdom of Morocco ; Maroc ; Marruecos ; Al-Magrib 	 country 
 Маркс, Карл 	 Marx ; Karl Marx 	 person 
 имя существительное 	 noun 	 linguistics 
 Объединённые Арабские Эмираты 	 United Arab Emirates 	 country 
 GNU/Linux 	 Linux 	 computers 
 Новая Зеландия 	 New Zealand 	 country 
 температура 	 temperature 	 nature 
 Черногория 	 Montenegro ; Crna Gora 	 country 
 Никарагуа 	 Nicaragua ; Republic of Nicaragua 	 country 
 Большой Лондон 	 London ; Greater London ; British capital ; capital of the United Kingdom 	 capital_city 
 Сейшелы 	 Seychelles ; Republic of Seychelles 	 country 
 телефон 	 telephone ; phone ; telephone set 	 device 
 Кувейт 	 Kuwait ; State of Kuwait ; Koweit 	 country 
 Берлин 	 Berlin ; German capital 	
 Коста-Рика 	 Costa Rica ; Republic of Costa Rica 	 country 
 Свазиленд 	 Swaziland ; Kingdom of Swaziland 	 country 
 фосфор 	 phosphorus ; P ; atomic number 15 	 chemical element 
 Руанда 	 Rwanda ; Rwandese Republic ; Ruanda 	 country 
 город 	 city ; metropolis ; urban center 	 society 
 Доминиканская Республика 	 Dominican Republic 	 country 
 краснота 	 red ; redness 	 color 
 газ 	 gas ; gaseous state 	 physics 
 арабский язык 	 Arabic ; Arabic language 	 language 
 Бутан 	 Bhutan ; Kingdom of Bhutan 	 country 
 Эйнштейн, Альберт 	 Einstein ; Albert Einstein 	 person 
 лёгкое 	 lung 	 anatomy 
 волк 	 wolf 	 animal 
 зебра 	 zebra 	 animal 
 три 	 three ; 3 ; iii 	 number 
 биохимия 	 biochemistry 	 biology 
 Сальвадор 	 El Salvador ; Republic of El Salvador ; Salvador 	 country 
 солнечная система 	 solar system 	 astronomy 
 НАТО 	 North Atlantic Treaty Organization ; NATO 	
 революция 	 revolution 	
 Молдавия 	 Moldova ; Republic of Moldova ; Moldavia 	 state 
 телевидение 	 television ; telecasting ; TV ; video 	 device 
 сон ; сновидение 	 dream ; dreaming 	
 Багамские Острова 	 Bahamas ; Commonwealth of the Bahamas ; Bahama Islands 	
 санскрит 	 Sanskrit ; Sanskritic language 	 language 
 жираф(а) 	 giraffe ; camelopard ; Giraffa camelopardalis 	 animal 
 нептун 	 Neptune 	
 хлор 	 chlorine ; Cl ; atomic number 17 	 chemical element 
 экология 	 ecology ; bionomics ; environmental science 	 biology 
 насыпь ; вал ; банк 	 depository financial institution ; bank ; banking concern ; banking company 	 city 
 римск. плутон 	 Pluto 	
 кальций 	 calcium ; Ca ; atomic number 20 	 chemistry 
 Гавайи 	 Hawaii ; Hawai'i ; Aloha State ; HI 	
 Флорида 	 Florida ; Sunshine State ; Everglade State ; FL 	
 Иерусалим 	 Jerusalem ; capital of Israel 	 capital_city 
 гадина ; отвратительный человек 	 frog ; toad ; toad frog ; anuran ; batrachian ; salientian 	 animal 
 Москва 	 Moscow ; capital of the Russian Federation ; Russian capital 	 capital_city 
 Нью-Йорк 	 New York ; New York City ; Greater New York 	
 Рим 	 Rome ; Roma ; Eternal City ; Italian capital ; capital of Italy 	 capital_city 
 Северный Ледовитый океан 	 Arctic Ocean 	
 грамматика 	 grammar 	 linguistics 
 периодическая система элементов 	 periodic table 	 chemistry 
 крокодил 	 crocodile 	 animal 
 Мавритания 	 Mauritania ; Islamic Republic of Mauritania ; Mauritanie ; Muritaniya 	 country 
 Мадрид 	 Madrid ; capital of Spain ; Spanish capital 	 capital_city 
 Амстердам 	 Amsterdam ; Dutch capital ; capital of The Netherlands 	 capital_city 
 Суринам 	 Suriname ; Republic of Suriname ; Surinam ; Dutch Guiana ; Netherlands Guiana 	 country 
 стихи ; поэзия 	 poetry ; poesy ; verse 	 art 
 олень 	 deer ; cervid 	 animal 
 Таджикистан 	 Tajikistan ; Republic of Tajikistan ; Tadzhikistan ; Tadzhik ; Tadjik ; Tajik 	 country 
 фортепьяно 	 piano ; pianoforte ; forte-piano 	 music 
 треугольник 	 triangle ; trigon ; trilateral 	 geometry 
 генетика 	 genetics ; genetic science 	 biology 
 Туркмения 	 Turkmenistan ; Turkomen ; Turkmen ; Turkmenia 	 country 
 электрон 	 electron ; negatron 	 physics 
 ботаника 	 botany ; phytology 	 biology 
 природа 	 nature 	 nature 
 Франкфурт-на-Майне 	 Frankfurt on the Main ; Frankfurt ; Frankfort 	
 цвет ; цветение 	 flower ; bloom ; blossom 	 biology 
 Гватемала 	 Guatemala ; Republic of Guatemala 	 country 
 лаос 	 Laos ; Lao People's Democratic Republic 	 state 
 электроника 	 electronics 	 physics 
 восемь 	 eight ; 8 ; viii 	 number 
 Мадагаскар 	 Madagascar 	
 логика 	 logic 	 mathematics 
 Колумб, Христофор 	 Columbus ; Christopher Columbus ; Cristoforo Colombo ; Cristobal Colon 	 person 
 Первая мировая война 	 World War I ; World War 1 ; Great War ; First World War ; War to End War 	
 Нил 	 Nile ; Nile River 	
 этика 	 ethics ; moral philosophy 	 law 
 Лихтенштейн 	 Liechtenstein ; Principality of Liechtenstein 	 country 
 Пекин 	 Beijing ; Peking ; Peiping ; capital of Red China 	 capital_city 
 Кастро, Фидель 	 Castro ; Fidel Castro ; Fidel Castro Ruz 	
 десять 	 ten ; 10 ; x 	 number 
 актёр 	 actor ; histrion ; player ; thespian ; role player 	 profession 
 Того 	 Togo ; Togolese Republic 	 country 
 Гвинея 	 Guinea ; Republic of Guinea ; French Guinea 	 country 
 тысяча 	 thousand ; one thousand ; 1000 ; M ; K ; chiliad ; G ; grand ; thou ; yard 	 number 
 баскетбольный 	 basketball ; basketball game ; hoops 	 sports 
 гелий 	 helium ; He ; atomic number 2 	 chemical element 
 патриотизм 	 patriotism ; nationalism 	 military 
 Уильям Шекспир 	 Shakespeare ; William Shakespeare ; Shakspere ; William Shakspere ; Bard of Avon 	 person 
 Демократическая Республика Конго 	 Congo ; Democratic Republic of the Congo ; Zaire ; Belgian Congo 	 country 
 быстрота 	 speed ; velocity 	 mathematics 
 Гвинея-Бисау 	 Guinea-Bissau ; Republic of Guinea-Bissau ; Guine-Bissau ; Portuguese Guinea 	 country 
 киргиз 	 Kyrgyzstan ; Kyrgyz Republic ; Kirghizia ; Kirgizia ; Kirghiz ; Kirgiz ; Kirghizstan ; Kirgizstan 	 country 
 Кабо-Верде 	 Cape Verde ; Republic of Cape Verde 	 country 
 Чикаго 	 Chicago ; Windy City 	 city 
 Нобелевские премии 	 Nobel prize 	
 мифология 	 mythology 	 accumulation 
 Гонконг 	 Hong Kong 	
 некрополь ; кладбище 	 cemetery ; graveyard ; burial site ; burial ground ; burying ground ; memorial park ; necropolis 	
 Техас 	 Texas ; Lone-Star State ; TX 	
 Гренландия 	 Greenland ; Gronland ; Kalaallit Nunaat 	
 эсперанто 	 Esperanto 	 language 
 игра 	 game 	 mathematics 
 Бруней 	 Brunei ; Negara Brunei Darussalam 	
 Алабама 	 Alabama ; Heart of Dixie ; Camellia State ; AL 	
 еврейская религия ; юдаизм 	 Judaism 	
 Каир 	 Cairo ; Al Qahira ; El Qahira ; Egyptian capital ; capital of Egypt 	 capital_city 
 буря ; гроза ; ураган 	 storm ; violent storm 	 nature 
 лиса ; лисица 	 fox 	 mammal 
 рождество 	 Christmas ; Christmas Day ; Xmas ; Dec 25 	
 Сьерра-Леоне 	 Sierra Leone ; Republic of Sierra Leone 	 country 
 Бангкок 	 Bangkok ; capital of Thailand ; Krung Thep 	 capital_city 
 Ганди, Мохандас Карамчанд 	 Gandhi ; Mahatma Gandhi ; Mohandas Karamchand Gandhi 	 person 
 посольство 	 embassy 	 diplomacy 
 техника 	 engineering ; engineering science ; applied science ; technology 	 abstract 
 цезарь 	 Caesar ; Julius Caesar ; Gaius Julius Caesar 	
 уран 	 Uranus 	 astronomy 
 Скандинавия 	 Scandinavia 	
 Григорианский календарь 	 Gregorian calendar ; New Style calendar 	
 Синдром приобретённого иммунного дефицита 	 AIDS ; acquired immune deficiency syndrome 	 sex 
 почка 	 kidney 	 anatomy 
 ром 	 Jamaica 	 country 
 еврейский народ ; евреи 	 Israel ; State of Israel ; Yisrael ; Zion ; Sion 	 country 
 Лесото 	 Lesotho ; Kingdom of Lesotho ; Basutoland 	 country 
 протон 	 proton 	 physics 
 дезоксирибонуклеиновая кислота 	 deoxyribonucleic acid ; desoxyribonucleic acid ; DNA 	 genetics 
 ангел 	 angel 	 religion 
 Ленин, Владимир Ильич 	 Lenin ; Vladimir Lenin ; Nikolai Lenin ; Vladimir Ilyich Lenin ; Vladimir Ilich Lenin ; Vladimir Ilyich Ulyanov ; Vladimir Ilich Ulyanov 	 person 
 крупный ; большой 	 large ; big 	 adjective 
 Белиз 	 Belize ; British Honduras 	 country 
 Лиссабон 	 Lisbon ; Lisboa ; capital of Portugal 	 capital_city 
 Лос-Анджелес 	 Los Angeles ; City of the Angels 	
 метеорология 	 meteorology 	 physics 
 Платон 	 Plato 	
 Великая французская революция 	 French Revolution 	
 цинк 	 zinc ; Zn ; atomic number 30 	 chemistry 
 Гайана 	 Guyana ; Co-operative Republic of Guyana ; British Guiana 	 country 
 морковь 	 carrot ; cultivated carrot ; Daucus carota sativa 	 botany 
 Стокгольм 	 Stockholm ; capital of Sweden 	 capital_city 
 минерал 	 mineral 	 material 
 индуизм 	 Hinduism ; Hindooism 	 faith 
 Луизиана 	 Louisiana ; Pelican State ; LA 	
 Вена 	 Vienna ; Austrian capital ; capital of Austria 	 capital_city 
 Муссолини, Бенито 	 Mussolini ; Benito Mussolini ; Il Duce 	 person 
 Буэнос-Айрес 	 Buenos Aires ; capital of Argentina 	 capital_city 
 Осло 	 Oslo ; Christiania ; capital of Norway 	 capital_city 
 Багдад 	 Baghdad ; Bagdad ; capital of Iraq 	 capital_city 
 дюжина 	 twelve ; 12 ; xii ; dozen 	 mathematics 
 ртуть 	 mercury ; quicksilver ; hydrargyrum ; Hg ; atomic number 80 	 nature 
 кобальт 	 cobalt ; Co ; atomic number 27 	 chemistry 
 Пенсильвания 	 Pennsylvania ; Keystone State ; PA 	
 медицина 	 medicine ; medical specialty 	 health 
 Центрально-Африканская Республика 	 Central African Republic ; Central Africa 	 country 
 Оман 	 Oman ; Sultanate of Oman ; Muscat and Oman 	 country 
 килограмм 	 kilogram ; kg ; kilo 	 transport 
 арифметика 	 arithmetic 	 mathematics 
 Гомер 	 Homer 	
 паук 	 spider 	 animal 
 Бетховен, Людвиг ван 	 Beethoven ; van Beethoven ; Ludwig van Beethoven 	 person 
 Колорадо 	 Colorado ; Centennial State ; CO 	
 Тайвань 	 Taiwan ; China ; Nationalist China ; Republic of China 	 country 
 двухэтажный трамвай ; троллейбус ; автобус 	 bus ; autobus ; coach ; charabanc ; double-decker ; jitney ; motorbus ; motorcoach ; omnibus ; passenger vehicle 	 transport 
 Шри-Ланка 	 Sri Lanka ; Democratic Socialist Republic of Sri Lanka ; Ceylon 	
 Александр Македонский 	 Alexander ; Alexander the Great 	
 Блэр, Энтони Чарлз Линтон 	 Blair ; Tony Blair ; Anthony Charles Lynton Blair 	
 блоха 	 flea 	 animal 
 дьявол ; демон ; сатана 	 devil ; fiend ; demon ; daemon ; daimon 	 mythology 
 гитара 	 guitar 	 object 
 аэродром 	 airport ; airdrome ; aerodrome ; drome 	 city 
 Галилей, Галилео 	 Galileo ; Galileo Galilei 	 person 
 Венеция 	 Venice ; Venezia 	
 Прага 	 Prague ; Praha ; Prag ; Czech capital 	 city 
 Че Гевара, Эрнесто 	 Guevara ; Ernesto Guevara ; Che Guevara 	 person 
 электричество 	 electricity ; electrical energy 	 physics 
 Стамбул 	 Istanbul ; Stambul ; Stamboul ; Constantinople 	 city 
 утка 	 duck 	 animal 
 калий 	 potassium ; K ; atomic number 19 	 chemistry 
 Буш, Джордж 	 Bush ; George Bush ; George W. Bush ; George Walker Bush ; President Bush ; President George W. Bush ; Dubyuh ; Dubya 	
 пляж ; отлогий морской берег ; взморье 	 beach 	 nature 
 Республика Конго 	 Congo ; Republic of the Congo ; French Congo 	 country 
 климат 	 climate ; clime 	 nature 
 Мюнхен 	 Munich ; Muenchen 	 city 
 употр. в разговорной речи тж. как ; йод 	 iodine ; iodin ; I ; atomic number 53 	 chemical element 
 Барселона 	 Barcelona 	 city 
 атеизм 	 atheism ; godlessness 	
 литий 	 lithium ; Li ; atomic number 3 	 chemistry 
 Катовице 	 Katowice 	
 Вашингтон, Джордж 	 Washington ; George Washington ; President Washington 	 person 
 замок 	 castle 	 city 
 Кирибати 	 Kiribati ; Republic of Kiribati 	 country 
 цвет 	 color ; colour ; coloring ; colouring 	 art 
 богословие 	 theology ; divinity 	 field 
 Науру 	 Nauru ; Republic of Nauru 	 country 
 Папуа — Новая Гвинея 	 Papua New Guinea ; Independent State of Papua New Guinea 	 country 
 роман 	 novel 	 literature 
 Пифагор 	 Pythagoras 	 mathematics 
 условное обозначение чего-л., следующего за первым по порядку, сортности и т.п. 	 boron ; B ; atomic number 5 	 chemical element 
 хром 	 chromium ; Cr ; atomic number 24 	 chemistry 
 Ирландия 	 Ireland ; Republic of Ireland ; Irish Republic ; Eire 	 country 
 Югославия 	 Serbia and Montenegro ; Union of Serbia and Montenegro ; Yugoslavia ; Federal Republic of Yugoslavia ; Jugoslavija 	 state 
 Пабло Пикассо 	 Picasso ; Pablo Picasso 	 person 
 Висконсин 	 Wisconsin ; Badger State ; WI 	
 Сан-Марино 	 San Marino ; capital of San Marino 	 country 
 Поло, Марко 	 Polo ; Marco Polo 	 person 
 оружие 	 weapon ; arm ; weapon system 	 object 
 голубь 	 pigeon 	 animal 
 пшеница 	 wheat 	 cereal 
 никель 	 nickel ; Ni ; atomic number 28 	 chemistry 
 сверчок ; крикет 	 cricket 	
 литр 	 liter ; litre ; l ; cubic decimeter ; cubic decimetre 	
 Барбадос 	 Barbados 	
 Торонто 	 Toronto 	 city 
 белок 	 protein 	 biology 
 грызун 	 rodent ; gnawer 	 animal 
 ЮНЕСКО 	 United Nations Educational Scientific and Cultural Organization ; UNESCO 	 ecology 
 Балтийское море 	 Baltic ; Baltic Sea 	
 лесной 	 forest ; wood ; woods 	 nature 
 Флоренция 	 Firenze ; Florence 	
 университет 	 university 	 education 
 Магеллан, Фернан 	 Magellan ; Ferdinand Magellan ; Fernao Magalhaes 	 person 
 динозавр 	 dinosaur 	 animal 
 шесть 	 six ; 6 ; vi ; half dozen ; half-dozen 	 number 
 Огайо 	 Ohio ; Buckeye State ; OH 	
 программа 	 software ; software program ; computer software ; software system ; software package ; package 	 computers 
 джидда 	 Jeddah ; Jed'dah ; Jiddah ; Jidda 	
 инфлюэнца ; грипп 	 influenza ; flu ; grippe 	 disease 
 Россия 	 Russia 	
 Аризона 	 Arizona ; Grand Canyon State ; AZ 	
 Аристотель 	 Aristotle 	 mathematics 
 Фрейд, Зигмунд 	 Freud ; Sigmund Freud 	 person 
 Мандела, Нельсон Ролихлахла 	 Mandela ; Nelson Mandela ; Nelson Rolihlahla Mandela 	
 медведь 	 bear 	 animal 
 язык хинди 	 Hindi 	 language 
 пасха 	 Easter 	
 Сидней 	 Sydney 	
 Сталин, Иосиф Виссарионович 	 Stalin ; Joseph Stalin ; Iosif Vissarionovich Dzhugashvili 	 person 
 техника ; технология 	 technology ; engineering 	 society 
 Вануату 	 Vanuatu ; Republic of Vanuatu ; New Hebrides 	 state 
 Уэльс 	 Wales ; Cymru ; Cambria 	
 Нобель, Альфред Бернхард 	 Nobel ; Alfred Nobel ; Alfred Bernhard Nobel 	 person 
 операнд 	 operating system ; OS 	 computers 
 Коморские острова 	 Comoros ; Federal Islamic Republic of the Comoros 	 country 
 Кюри-Склодовская, Мария 	 Curie ; Marie Curie ; Madame Curie ; Marya Sklodowska 	 person 
 Викинги 	 Viking 	
 алгоритм 	 algorithm ; algorithmic rule ; algorithmic program 	 mathematics 
 дол ; долина 	 valley ; vale 	 nature 
 блог 	 web log ; blog 	 computers 
 високосный год 	 leap year ; intercalary year ; 366 days ; bissextile year 	
 душа ; дух 	 soul ; psyche 	 religion 
 Восточный Тимор 	 East Timor 	
 чеснок 	 garlic ; ail 	 food 
 Арканзас 	 Arkansas ; Land of Opportunity ; AR 	
 микроскоп 	 microscope 	 object 
 девять 	 nine ; 9 ; ix 	 number 
 Путин, Владимир Владимирович 	 Putin ; Vladimir Putin ; Vladimir Vladimirovich Putin 	
 Дублин 	 Dublin ; Irish capital ; capital of Ireland 	 capital_city 
 неон 	 neon ; Ne ; atomic number 10 	 chemical element 
 молекула 	 molecule 	 physics 
 Экваториальная Гвинея 	 Equatorial Guinea ; Republic of Equatorial Guinea ; Spanish Guinea 	 country 
 лебедь 	 swan 	 animal 
 водопад ; каскад 	 waterfall ; falls 	 nature 
 Чехословакия 	 Czechoslovakia 	 state 
 Кант, Иммануил 	 Kant ; Immanuel Kant 	 person 
 Хельсинки 	 Helsinki ; Helsingfors ; capital of Finland ; Finnish capital 	 capital_city 
 Антигуа и Барбуда 	 Antigua and Barbuda 	
 Тувалу 	 Tuvalu 	 state 
 сено 	 hay 	 agriculture 
 курица 	 chicken ; Gallus gallus 	 animal 
 лава 	 lava 	 nature 
 вена 	 vein ; vena ; venous blood vessel 	 anatomy 
 плечо 	 shoulder 	 anatomy 
 епископ 	 bishop 	 profession 
 Небраска 	 Nebraska ; Cornhusker State ; NE 	
 радуга 	 rainbow 	 weather 
 капитализм 	 capitalism ; capitalist economy 	 economics 
 Линкольн, Авраам 	 Lincoln ; Abraham Lincoln ; President Lincoln ; President Abraham Lincoln 	 person 
 органическая химия 	 organic chemistry 	 chemistry 
 клюв 	 beak ; bill ; neb ; nib ; pecker 	 anatomy 
 Брюссель 	 Bruxelles ; Brussels ; Belgian capital ; capital of Belgium 	 capital_city 
 Сингапур 	 Singapore ; Republic of Singapore 	 country 
 туризм 	 tourism ; touristry 	 travelling 
 Президент 	 President of the United States ; United States President ; President ; Chief Executive 	
 Индиана 	 Indiana ; Hoosier State ; IN 	
 вирус 	 virus 	 medicine 
 Тьюринг, Алан Матисон 	 Turing ; Alan Turing ; Alan Mathison Turing 	 person 
 Бавария 	 Bavaria 	
 фашизм 	 fascism 	
 черепаха 	 tortoise 	 animal 
 Орегон 	 Oregon ; Beaver State ; OR 	
 суббота 	 Saturday ; Sabbatum ; Sat 	 time 
 Иллинойс 	 Illinois ; Prairie State ; Land of Lincoln ; IL 	
 Северная Каролина 	 North Carolina ; Old North State ; Tar Heel State ; NC 	
 глагол 	 verb 	 linguistics 
 Хемингуэй, Эрнест Миллер 	 Hemingway ; Ernest Hemingway 	 person 
 Будда 	 Buddha ; Siddhartha ; Gautama ; Gautama Siddhartha ; Gautama Buddha 	
 Тринидад и Тобаго 	 Trinidad and Tobago ; Republic of Trinidad and Tobago 	
 кит 	 whale 	 animal 
 Греческий алфавит 	 Greek alphabet 	
 крупчатка ; мука 	 flour 	 world 
 Лютер, Мартин 	 Luther ; Martin Luther 	 person 
 Гейтс, Билл 	 Gates ; Bill Gates ; William Henry Gates 	
 африкаанс 	 Afrikaans ; Taal ; South African Dutch 	 language 
 кремний 	 silicon ; Si ; atomic number 14 	 chemical element 
 Римско-католическая церковь 	 Roman Catholic ; Western Church ; Roman Catholic Church ; Church of Rome ; Roman Church 	
 HTML 	 hypertext markup language ; hypertext mark-up language ; HTML 	 computers 
 кукуруза ; маис 	 corn ; maize ; Indian corn ; Zea mays 	 cereal 
 спирт ; алкоголь 	 alcohol 	 chemistry 
 Будапешт 	 Budapest ; Hungarian capital ; capital of Hungary 	 capital_city 
 слива 	 plum 	 fruit 
 цунами 	 tsunami 	 nature 
 Олимпийские игры 	 Olympic Games ; Olympics ; Olympiad 	
 попугай 	 parrot 	 animal 
 галактика ; млечный путь 	 galaxy ; extragalactic nebula 	 accumulation 
 Сицилия 	 Sicily ; Sicilia 	
 Каталония 	 Catalonia 	
 столетие 	 century 	 time 
 аргон 	 argon ; Ar ; atomic number 18 	 chemical element 
 гог, винсент ван 	 van Gogh ; Vincent van Gogh ; Gogh 	 person 
 социализм 	 socialism ; socialist economy 	
 Кириллица 	 Cyrillic alphabet ; Cyrillic 	
 Архимед 	 Archimedes 	 mathematics 
 Чёрное море 	 Black Sea ; Euxine Sea 	
 осёл 	 domestic ass ; donkey ; Equus asinus 	 animal 
 Черчилль, Уинстон 	 Churchill ; Winston Churchill ; Winston S. Churchill ; Sir Winston Leonard Spenser Churchill 	 person 
 фаллос 	 penis ; phallus ; member 	 anatomy 
 зеркало 	 mirror 	 house 
 Руссо, Жан-Жак 	 Rousseau ; Jean-Jacques Rousseau 	 person 
 болезнь 	 illness ; unwellness ; malady ; sickness 	 biology 
 сплав 	 alloy ; metal 	 chemistry 
 Бог 	 God ; Supreme Being 	
 Вермонт 	 Vermont ; Green Mountain State ; VT 	
 монархия 	 monarchy 	
 витамин 	 vitamin 	 biology 
 Вайоминг 	 Wyoming ; Equality State ; WY 	
 барабан 	 drum ; membranophone ; tympan 	 music 
 Великая Китайская стена 	 Chinese Wall ; Great Wall ; Great Wall of China 	
 астрология 	 astrology ; star divination 	
 Пустыня Сахара 	 Sahara ; Sahara Desert 	
 фотосинтез 	 photosynthesis 	 biology 
 глициний ; бериллий 	 beryllium ; Be ; glucinium ; atomic number 4 	 chemistry 
 Джомолунгма 	 Everest ; Mount Everest ; Mt. Everest 	
 лук 	 onion ; onion plant ; Allium cepa 	 food 
 Мухаммед 	 Mohammed ; Mohammad ; Muhammad ; Mahomet ; Mahound 	
 гуманитарные науки 	 humanistic discipline ; humanities ; liberal arts ; arts 	 art 
 Дунай 	 Danube ; Danube River ; Danau 	
 магний 	 magnesium ; Mg ; atomic number 12 	 chemistry 
 Альпы 	 Alps ; the Alps 	
 элемент 	 chemical element ; element 	 material 
 нейтрон 	 neutron 	 physics 
 Гималаи 	 Himalayas ; Himalaya Mountains ; Himalaya 	
 Саддам Хусейн 	 Hussein ; Husain ; Husayn ; Saddam Hussein ; Saddam ; Saddam bin Hussein at-Takriti 	
 ион 	 ion 	 physics 
 полуостров 	 peninsula 	 nature 
 астероид 	 asteroid 	 astronomy 
 архипелаг 	 archipelago 	 nature 
 Невада 	 Nevada ; Silver State ; Battle Born State ; Sagebrush State ; NV 	
 полицейские силы ; полиция 	 police ; police force ; constabulary ; law 	 society 
 вошь 	 louse ; sucking louse 	 animal 
