 tai 	 against 	 preposition 
 hyakusho_ 	 farmer ; husbandman ; granger ; sodbuster 	 profession 
 cho_genjitsushugi 	 surrealism 	
 retsu 	 row 	 line 
 ju_yon 	 fourteen ; 14 ; xiv 	 number 
 kanbo_ 	 cell 	 anatomy 
 yakuzaishi 	 pharmacist ; druggist ; chemist ; apothecary ; pill pusher ; pill roller 	 profession 
 gyoshoku 	 orgy ; debauch ; debauchery ; saturnalia ; riot ; bacchanal ; bacchanalia ; drunken revelry 	 police 
 to_goron 	 syntax ; sentence structure ; phrase structure 	 linguistics 
 tate 	 shield ; buckler 	
 mamonaku 	 soon ; shortly ; presently ; before long 	 adverb 
 tazuneru 	 ask ; inquire ; enquire 	 verb 
 zakuro 	 pomegranate 	 edible fruit 
 kon'in 	 marriage ; matrimony ; union ; spousal relationship ; wedlock 	 society 
 yani 	 nicotine 	 health 
 wani 	 alligator ; gator 	 animal 
 ? 	 oath ; swearing 	 law 
 seki 	 dam ; dike ; dyke 	 nature 
 giteisho 	 protocol ; communications protocol 	 computers 
 sai 	 rhinoceros ; rhino 	 animal 
 zenshi 	 prehistory ; prehistoric culture 	 time 
 ko_gai 	 suburb ; suburbia ; suburban area 	
 sedai 	 generation 	 biology 
 nendo 	 clay 	 art 
 ko_kyo_kyoku 	 symphony orchestra ; symphony ; philharmonic 	 music 
 sho_hai 	 decoration ; laurel wreath ; medal ; medallion ; palm ; ribbon 	 architecture 
 kanrin'in 	 academy 	
 shiri 	 buttocks ; nates ; arse ; butt ; backside ; bum ; buns ; can ; fundament ; hindquarters ; hind end ; keister ; posterior ; prat ; rear ; rear end ; rump ; stern ; seat ; tail ; tail end ; tooshie ; tush ; bottom ; behind ; derriere ; fanny ; ass 	 anatomy 
 suizokukan 	 aquarium ; fish tank ; marine museum 	
 kaimei 	 civilization ; civilisation 	 society 
 kenkyu_ 	 research 	 abstract 
 hirusugi 	 afternoon 	 time 
 yamaarashi 	 porcupine ; hedgehog 	 animal 
 yarikata 	 method 	 mathematics 
 keiyaku 	 contract 	 business 
 kusachi 	 hayfield ; meadow 	 nature 
 kage 	 shade ; shadiness ; shadowiness 	 art 
 tengai 	 horizon ; apparent horizon ; visible horizon ; sensible horizon ; skyline 	 astronomy 
 engai 	 dome 	
 sakuin 	 index 	 mathematics 
 kani 	 crab 	 animal 
 moshikashite 	 possibly ; perchance ; perhaps ; maybe ; mayhap ; peradventure 	 adverb 
 hankei 	 radius ; r 	 mechanical_engineering 
 hanayasai 	 cauliflower ; Brassica oleracea botrytis 	 cruciferous plant 
 toori 	 manner ; mode ; style ; way ; fashion 	 mathematics 
 inbai 	 prostitution ; harlotry ; whoredom 	 law 
 momo 	 thigh 	 anatomy 
 ogawa 	 brook ; creek 	 nature 
 wari 	 percentage ; percent ; per centum ; pct 	 mathematics 
 isamashii 	 brave ; courageous 	 character 
 utau 	 sing 	 verb 
 ganken 	 eyelid ; lid ; palpebra 	 anatomy 
 hyo_go 	 motto ; slogan ; catchword ; shibboleth 	
 norite 	 passenger ; rider 	 transport 
 hanbai 	 sale 	 business 
 o_jo 	 princess 	
 arakawa 	 bark 	 cover 
 mon 	 gate 	 house 
 shihan 	 marketing 	 career 
 ibo 	 wart ; verruca 	
 ro_to 	 funnel 	 chemistry 
 karasu 	 raven ; Corvus corax 	 animal 
 yakuho 	 drugstore ; apothecary's shop ; chemist's ; chemist's shop ; pharmacy 	
 shu_do_incho_ 	 abbot ; archimandrite 	
 denkai 	 electrolysis 	 chemistry 
 yami 	 dark ; darkness 	 photography 
 neppatsu 	 fever ; febrility ; febricity ; pyrexia ; feverishness 	 health 
 zoku 	 thief ; stealer 	
 museifujo_tai 	 anarchy ; lawlessness 	 disorder 
 yokubo_ 	 appetite ; appetency ; appetence 	 health 
 cho_seki 	 tide 	 astronomy 
 make 	 defeat ; licking 	 ending 
 kyo_kenbyo_ 	 rabies ; hydrophobia ; lyssa ; madness 	 medical_procedure 
 sankabutsu 	 oxide 	 chemical compound 
 engumi 	 marriage ; wedding ; marriage ceremony 	 family 
 ju_roku 	 sixteen ; 16 ; xvi 	 number 
 nanaju_ 	 seventy ; 70 ; lxx 	 number 
 ro_ya 	 jail ; jailhouse ; gaol ; clink ; slammer ; poky ; pokey 	
 ku_haku 	 vacuum ; vacuity 	 physics 
 kujaku 	 peacock 	 animal 
 shinden 	 temple 	 place 
 shuzoku 	 subspecies ; race 	 biology 
 jiki 	 magnetism ; magnetic attraction ; magnetic force 	 physics 
 nedan 	 price ; terms ; damage 	 transport 
 ichijiku 	 fig 	 edible fruit 
 uri 	 melon 	 edible fruit 
 soshikigaku 	 histology 	 medicine 
 iwa 	 rock ; stone 	 material 
 yoshimi 	 friendship ; friendly relationship 	 character 
 kaiseki 	 analysis ; analytic thinking 	 mathematics 
 yo_so 	 component ; constituent ; element ; factor ; ingredient 	 mathematics 
 fu_kaku 	 style 	 art 
 shikii 	 threshold ; limen 	 construction 
 wan 	 bay ; embayment 	 world 
 tsubomi 	 bud 	 botany 
 jushi 	 resin ; rosin 	 biology 
 gyo_sei 	 administration ; disposal 	 direction 
 busshitsutaisha 	 metabolism ; metabolic process 	 biological process 
 sumai 	 dwelling ; home ; domicile ; abode ; habitation ; dwelling house 	 house 
 hinaningyo_ 	 doll ; dolly 	
 nishin 	 herring ; Clupea harangus 	 animal 
 shihanbun 	 one-fourth ; fourth ; one-quarter ; quarter ; fourth part ; twenty-five percent ; quartern 	 mathematics 
 mokko_ 	 carpenter 	 profession 
 ho_ru 	 throw 	 verb 
 eki 	 gain 	 accounting 
 ashi 	 reed 	 music 
 kagiju_ji 	 swastika ; Hakenkreuz 	
 suwaru 	 sit ; sit down 	 verb 
 bakkin 	 fine ; mulct ; amercement 	 business 
 tsukuro_ 	 repair ; mend ; fix ; bushel ; doctor ; furbish up ; restore ; touch on 	 mechanical_engineering 
 shunkan 	 moment ; mo ; minute ; second ; bit 	 time 
 teppoudama 	 bullet ; slug 	 military 
 hinketsusho_ 	 anemia ; anaemia 	 medicine 
 senreishiki 	 baptism 	 religion 
 kyu_tai 	 sphere 	 mathematics 
 shako 	 partridge 	 animal 
 tasogare 	 twilight ; dusk ; gloaming ; gloam ; nightfall ; evenfall ; fall ; crepuscule ; crepuscle 	 nature 
 hatsuon 	 pronunciation 	 linguistics 
 shitsuten 	 atom ; molecule ; particle ; corpuscle ; mote ; speck 	 linguistics 
 tetsudzuki 	 procedure ; process 	 mathematics 
 senshokutai 	 chromosome 	 genetics 
 uzura 	 quail 	 animal 
 miira 	 mummy 	
 funbo 	 grave ; tomb 	 spot 
 hanahige 	 mustache ; moustache 	 anatomy 
 teitoku 	 admiral ; full admiral 	 military 
 nen 	 impression ; feeling ; belief ; notion ; opinion 	 thought 
 kau 	 buy ; purchase 	 verb 
 kogitte 	 check ; bank check ; cheque 	 business 
 ninka 	 permission 	
 negaigoto 	 prayer ; supplication 	 religion 
 totsuzenhen'i 	 mutation ; genetic mutation ; chromosomal mutation 	 biology 
 kannin 	 patience ; forbearance ; longanimity 	 character 
 yabanjin 	 savage ; barbarian 	 history 
 ro_ryoku 	 labor ; labour ; toil 	 business 
 chigai 	 difference 	 abstract 
 tsu_yakusha 	 interpreter ; translator 	 linguistics 
 sho_sa 	 witness ; witnesser ; informant 	 law 
 daishikyo_ 	 archbishop 	 profession 
 o_ji 	 prince 	
 o_za 	 throne 	
 ko_bakutaru 	 huge ; immense ; vast ; Brobdingnagian 	
 jo_bun 	 text ; textual matter 	 linguistics 
 kento_ 	 boxing ; pugilism ; fisticuffs 	
 ho_hei 	 artillery ; artillery unit 	 military 
 torihikisaki 	 client 	 society 
 chosakuken 	 copyright ; right of first publication 	 law 
 sakkyokuka 	 composer 	 profession 
 yo_chu_ 	 larva 	 creature 
 shotoku 	 income 	 business 
 todana 	 cupboard ; closet 	 house 
 ?? 	 altar ; communion table ; Lord's table 	 religion 
 kinshi 	 prohibition ; ban ; proscription 	 order 
 aizu 	 signal ; signaling ; sign 	 communication 
 sensho_ 	 recommendation ; testimonial ; good word 	 career 
 shiki 	 ceremony ; ceremonial ; ceremonial occasion ; observance 	 religion 
 sekiei 	 quartz 	 geology 
 seikyo_ 	 success 	 society 
 ko_hai 	 destiny ; fate 	 natural event 
 shu_do_in 	 abbey 	
 shiin 	 consonant 	 linguistics 
 sokei 	 prototype ; paradigm ; epitome ; image 	 linguistics 
 kyu_ju_ 	 ninety ; 90 ; xc 	 number 
 denchi 	 battery ; electric battery 	 device 
 ryoken 	 passport 	 object 
 higame 	 bias ; prejudice ; preconception 	 statistics 
 jiyu_shugi 	 liberalism 	
 seiso_ 	 testis ; testicle ; orchis ; ball ; ballock ; bollock ; nut ; egg 	 anatomy 
 jitoku 	 masturbation ; onanism 	 sex 
 shu_yo_jo 	 refuge ; sanctuary ; asylum 	
 eisei 	 satellite ; artificial satellite ; orbiter 	 astronomy 
 tokkyo 	 patent ; patent of invention 	 accounting 
 hinin 	 beggar ; mendicant 	
 namanamashii 	 fresh 	 adjective 
 oodzutsu 	 cannon 	 military 
 bakabakashii 	 stupid 	 adjective 
 shinwa 	 myth 	 literature 
 rengo_kai 	 association 	 society 
 ikanobori 	 kite 	
 ikkoku 	 moment ; minute ; second ; instant 	 mathematics 
 shinkeika 	 neurology ; clinical neurology 	 medicine 
 kifu_ 	 quality ; character ; lineament 	 abstract 
 shusha 	 choice ; selection ; option ; pick 	 abstract 
 hayakumo 	 already 	 adverb 
 shichi 	 seven ; 7 ; vii 	 number 
 koi 	 carp 	 animal 
 oshieru 	 teach ; learn ; instruct 	 verb 
 doreiseido 	 bondage ; slavery ; thrall ; thralldom ; thraldom 	
 meiro 	 maze ; labyrinth 	 anatomy 
 uketoru 	 accept ; take ; have 	 verb 
 bo_go 	 protection 	 transport 
 bumon 	 department ; section 	 society 
 harigami 	 poster ; posting ; placard ; notice ; bill ; card 	 object 
 jo_bu 	 solid ; strong ; substantial 	
 rien 	 divorce ; divorcement 	 law 
 shinri 	 test ; trial ; run 	 mathematics 
 eigakan 	 cinema ; movie theater ; movie theatre ; movie house ; picture palace 	 city 
 ko_ho_ 	 navigation ; pilotage ; piloting 	 astronomy 
 seto 	 channel 	 logistics 
 ryo_shin 	 conscience ; scruples ; moral sense ; sense of right and wrong 	 religion 
 jinko_gaku 	 demography ; human ecology 	 marketing 
 hyo_zan 	 iceberg ; berg 	 ecology 
 ranso_ 	 ovary 	 anatomy 
 kikansha 	 locomotive ; engine ; locomotive engine ; railway locomotive 	 device 
 suirigaku 	 fluid mechanics ; hydraulics 	 physics 
 sekkai 	 calcium hydroxide ; lime ; slaked lime ; hydrated lime ; calcium hydrate ; caustic lime ; lime hydrate 	 construction 
 hagetaka 	 vulture 	 animal 
 so_ko_ 	 manuscript ; holograph 	
 itachi 	 weasel 	 animal 
 teiri 	 theorem 	 mathematics 
 kawa 	 fur ; pelt 	 substance 
 su_ji 	 numeral ; number 	 linguistics 
 ju_jika 	 cross 	 mechanical_engineering 
 retsuretsu 	 ferocious ; fierce ; furious ; savage 	 descriptive_adjectives 
 tsudzuri 	 orthography ; writing system 	 linguistics 
 tsubame 	 swallow 	 animal 
 sho_yo_taru 	 calm ; unagitated ; serene ; tranquil 	 character 
 kokoroyoi 	 pleasant 	 descriptive_adjectives 
 kubiwa 	 necklace 	 jewelry 
 sekimen 	 asbestos 	
 saku 	 policy 	 society 
 meisai 	 disguise ; camouflage 	 military 
 deitan 	 peat 	 agriculture 
 hakabakashii 	 rapid ; speedy 	
 sono 	 park ; commons ; common ; green 	 city 
 sakaime 	 boundary line ; border ; borderline ; delimitation ; mete 	 transport 
 shokusho_ 	 agency ; federal agency ; government agency ; bureau ; office ; authority 	 finance 
 gendo_ki 	 motor 	 device 
 kanasabi 	 rust 	 chemistry 
 hashi 	 peak ; crown ; crest ; top ; tip ; summit 	 economics 
 to_ten 	 comma 	 linguistics 
 yakurigaku 	 pharmacology ; pharmacological medicine ; materia medica 	
 genbugan 	 basalt 	 mineral 
 anagura 	 basement ; cellar 	
 gunjin 	 camp ; encampment ; cantonment ; bivouac 	 military 
 buttai 	 object ; physical object 	 linguistics 
 ongakutai 	 band 	 object 
 yutaka 	 affluent ; flush ; loaded ; moneyed ; wealthy 	
 yokohaba 	 width ; breadth 	 transport 
 ko_bai 	 slope ; incline ; side 	 geometry 
 maho_ 	 magic ; thaumaturgy 	 mythology 
 nukarumi 	 mud ; clay 	 garden 
 bai 	 double ; dual ; duple 	
 suika 	 watermelon 	 fruit 
 to_ro_ 	 lantern 	 construction 
 yu_rankyaku 	 tourist ; tourer ; holidaymaker 	
 cho_jin 	 aviator ; aeronaut ; airman ; flier ; flyer 	 profession 
 funanori 	 mariner ; seaman ; tar ; Jack-tar ; Jack ; old salt ; seafarer ; gob ; sea dog 	
 oshi 	 pressure ; pressure level ; force per unit area 	 nature 
 kyu_gi 	 billiards 	
 yamome 	 widower ; widowman 	 man 
 shimo 	 freeze ; frost 	 nature 
 warugashikoi 	 crafty ; cunning ; dodgy ; foxy ; guileful ; knavish ; slick ; sly ; tricksy ; tricky ; wily 	
 hitojichi 	 hostage ; surety 	 police 
 hakushaku 	 count 	
 hidoi 	 heavy 	 adjective 
 wan 	 bowl 	
 teshigoto 	 handicraft ; handcraft ; handiwork ; handwork 	 work 
 kuwashii 	 accurate ; exact ; precise 	 mechanical_engineering 
 shinkin 	 fungus 	 being 
 henka 	 change ; alteration ; modification 	 abstract 
 shikaishi 	 dentist ; tooth doctor ; dental practitioner 	 profession 
 tenshoku 	 career ; calling ; vocation 	 career 
 hanayome 	 bride 	 sex 
 kishoku 	 temper ; mood ; humor ; humour 	 character 
 hibiki 	 echo ; reverberation ; sound reflection ; replication 	 physics 
 saiho_shi 	 tailor ; seamster ; sartor 	 profession 
 unema 	 wrinkle ; furrow ; crease ; crinkle ; seam ; line 	 fashion 
 ekaki 	 painter 	 profession 
 mayonaka 	 midnight 	 time 
 amaho_shi 	 nun 	 profession 
 bo_ken 	 adventure ; escapade ; risky venture ; dangerous undertaking 	
 daitenshi 	 archangel 	 religion 
 masatsu 	 friction ; rubbing 	 physics 
 gyofu 	 fisherman ; fisher 	 profession 
 go_mon 	 torture ; torturing 	
 soroi 	 uniform 	 military 
 kenkyu_shitsu 	 lab ; laboratory ; research lab ; research laboratory ; science lab ; science laboratory 	 chemistry 
 fu_sai 	 appearance ; visual aspect 	 quality 
 muchitsujo 	 chaos ; pandemonium ; bedlam ; topsy-turvydom ; topsy-turvyness 	
 seishinbunretsusho_ 	 schizophrenia ; schizophrenic disorder ; schizophrenic psychosis ; dementia praecox 	
 gyo_sha 	 merchant ; merchandiser 	
 komakai 	 fine 	 adjective 
 o_kan 	 crown ; diadem 	
 waisetsubunsho 	 pornography ; porno ; porn ; erotica ; smut 	 sex 
 ketsubo_ 	 lack ; deficiency ; want 	 economics 
 saba 	 mackerel 	 animal 
 kireme 	 pause ; intermission ; break ; interruption ; suspension 	 time 
 otozureru 	 visit ; see 	 verb 
 so_jin 	 poet 	 profession 
 hoshijirushi 	 asterisk ; star 	 linguistics 
 seisan 	 product ; production 	 object 
 koshikake 	 bench 	 furniture 
 byo_nin 	 patient 	 medicine 
 maotoko 	 adultery ; criminal conversation ; fornication 	
 seishinka 	 psychiatry ; psychopathology ; psychological medicine 	
 iko 	 orphan 	
 budo_batake 	 vineyard ; vinery 	 garden 
 taiwa 	 dialogue ; dialog ; duologue 	 literature 
 ejiki 	 victim 	 law 
 ue 	 above ; higher up ; in a higher place ; to a higher place 	 adverb 
 kamonohashi 	 platypus ; duckbill ; duckbilled platypus ; duck-billed platypus ; Ornithorhynchus anatinus 	 animal 
 kyu_tai 	 globe 	
 setchixyakuzai 	 glue ; gum ; mucilage 	 material 
 kiseki 	 wonder ; marvel 	 abstract 
 ???? 	 choir 	 music 
 taigan 	 meeting ; encounter 	
 keisanki 	 calculator ; calculating machine 	 computers 
 hanzaigaku 	 criminology 	 police 
 kataharaitai 	 absurd ; cockeyed ; derisory ; idiotic ; laughable ; ludicrous ; nonsensical ; preposterous ; ridiculous 	 descriptive_adjectives 
 ikiwosuru 	 breathe ; take a breath ; respire ; suspire 	 fitness 
 shoshigaku 	 bibliography 	 literature 
 hiko_shi 	 pilot ; airplane pilot 	 profession 
 sho_bo_shi 	 fireman ; firefighter ; fire fighter ; fire-eater 	 profession 
 ko_mon 	 anus 	 anatomy 
 to_byo_ 	 vaccine ; vaccinum 	 medicine 
 jinko_ 	 aloe 	 botany 
 minzokugaku 	 ethnology 	
 monosashi 	 standard ; criterion ; measure ; touchstone 	 communication 
 kaikyu_ 	 class ; form ; grade ; course 	 art 
 momiryo_ji 	 massage 	 fitness 
 cho_ho_in 	 spy ; undercover agent 	 military 
 dokudokushii 	 poisonous ; toxicant 	 chemistry 
 kuri 	 chestnut 	 world 
 endo_ 	 chimney 	 construction 
 bishitsu 	 virtue ; virtuousness ; moral excellence 	 religion 
 hashi 	 margin ; border ; perimeter 	 geometry 
 cho_kokuto_ 	 chisel 	
 reimei 	 dawn ; dawning ; morning ; aurora ; first light ; daybreak ; break of day ; break of the day ; dayspring ; sunrise ; sunup ; cockcrow 	 nature 
 tabitabi 	 frequently ; often ; oftentimes ; oft ; ofttimes 	 adverb 
 tanju_ 	 pistol ; handgun ; side arm ; shooting iron 	 military 
 kenpou 	 fencing 	
 fuyu_ 	 wealth ; riches 	 economics 
 honno_ 	 instinct ; inherent aptitude 	
 inkaku 	 clitoris ; clit ; button 	 anatomy 
 udekubi 	 wrist ; carpus ; wrist joint ; radiocarpal joint ; articulatio radiocarpea 	 anatomy 
 ita 	 board ; plank 	 construction 
 wara 	 straw 	
 iidasu 	 propose ; suggest ; advise 	 verb 
 taisa 	 colonel 	 military 
 kibishii 	 rigorous ; strict 	
 ike 	 pond ; pool 	 nature 
 ko_gai 	 palate ; roof of the mouth 	 anatomy 
 senden 	 propaganda 	
 ju_nen 	 decade ; decennary ; decennium 	 time 
 buntai 	 fission ; nuclear fission 	
 ento_ 	 cylinder 	 mechanical_engineering 
 kibishii 	 severe ; spartan 	
 miageru 	 admire ; look up to 	
 rokkotsu 	 rib ; costa 	 anatomy 
 iimawashi 	 expression ; verbal expression ; verbalism 	 communication 
 bonkura 	 idiot ; imbecile ; cretin ; moron ; changeling ; half-wit ; retard 	 medicine 
 sho_sei 	 laughter 	 activity 
 jidai 	 era ; epoch 	 time 
 do_butsuen 	 menagerie ; zoo ; zoological garden 	 place 
 do_jime 	 belt 	 clothes 
 iwashi 	 pilchard ; sardine ; Sardina pilchardus 	 animal 
 nantaido_butsu 	 mollusk ; mollusc ; shellfish 	 animal 
 cho_do 	 precisely ; exactly ; just 	 adverb 
 baishu_ 	 purchase 	 accounting 
 kura 	 saddle 	
 oi 	 nephew 	 family 
 soncho_ 	 esteem ; regard ; respect 	 management 
 jindo_shugi 	 humanitarianism ; humanism 	 doctrine 
 itami 	 ache ; aching 	
 untenshu 	 driver 	 profession 
 hiden 	 mystery ; enigma ; secret ; closed book 	 literature 
 yo_ 	 job ; task ; chore 	 business 
 ranru 	 rag ; shred ; tag ; tag end ; tatter 	
 nanko_ 	 ointment ; unction ; unguent ; balm ; salve 	 medicine 
 teito_ 	 mortgage 	 accounting 
 gijutsu 	 technique 	 art 
 dokusaisha 	 dictator ; potentate 	 profession 
 inoru 	 pray 	
 ko_sokudo_ro 	 expressway ; freeway ; motorway ; pike ; state highway ; superhighway ; throughway ; thruway 	 transport 
 kyoshutsu 	 contribution ; donation 	
 kasane 	 pile ; heap ; mound ; agglomerate ; cumulation ; cumulus 	 accumulation 
 shingai 	 panic ; terror ; affright 	
 otozure 	 arrival 	 transport 
 jiki 	 porcelain 	
 buzoku 	 tribe ; folk 	 biology 
 taikutsu 	 boredom ; ennui ; tedium 	
 ryo_boku 	 beam 	 construction 
 uchi 	 inside ; within 	 adverb 
 sanbika 	 hymn ; anthem 	 music 
 bakuhatsu 	 explosion ; detonation ; blowup 	 astronomy 
 ryo_seirui 	 amphibian 	 animal 
 jinkai 	 rubbish ; trash ; scrap 	
 dekigoto 	 happening ; occurrence ; occurrent ; natural event 	
 yuzuru 	 sell 	 verb 
 ryo_ji 	 therapy 	 medicine 
 sho_ben 	 urine ; piss ; pee ; piddle ; weewee ; water 	 biology 
 kama 	 sickle ; reaping hook ; reap hook 	 agriculture 
 yadama 	 ammunition ; ammo 	 military 
 beikoku 	 America 	
 kiju_ki 	 crane 	 device 
 nakaniwa 	 court ; courtyard 	 area 
 kassen 	 valve 	 object 
 nakama 	 spouse ; partner ; married person ; mate ; better half 	 family 
 aiyaku 	 colleague ; co-worker ; fellow worker ; workfellow 	
 isanso_zokunin 	 heir ; inheritor ; heritor 	 law 
 ko_kyo 	 ditch 	
 kansen 	 infection 	 health 
 hihi 	 baboon 	 animal 
 hobashira 	 mast 	
 kishi 	 bank 	 nature 
 awasete 	 jointly ; collectively ; conjointly ; together with 	
 kyo_cho_ 	 emphasis ; accent 	 linguistics 
 su_ji 	 digit ; figure 	 linguistics 
 futtei 	 deficit ; shortage ; shortfall 	 management 
 ni 	 load ; loading ; burden 	 transport 
 nomikomu 	 understand 	 verb 
 tearai 	 toilet ; lavatory ; lav ; can ; john ; privy ; bathroom 	 house 
 hei 	 fence ; fencing 	 house 
 shinjutsu 	 acupuncture ; stylostixis 	 health 
 himo 	 string ; twine 	
 kyu_sen 	 armistice ; cease-fire ; truce 	 military 
 gyu_niku 	 beef ; boeuf 	 meat 
 yashin 	 ambition ; aspiration ; dream 	 character 
 shuryo_ 	 foreman ; chief ; gaffer ; honcho ; boss 	 profession 
 yosan 	 budget 	 accounting 
 bokuso_chi 	 pasture ; pastureland ; grazing land ; lea ; ley 	 agriculture 
 kama 	 furnace 	 technology 
 tsukai 	 messenger ; courier 	 profession 
 ikkoku 	 stubborn ; obstinate ; unregenerate 	
 tara 	 cod ; codfish 	 animal 
 iibun 	 charge ; complaint 	 society 
 tanju_ 	 revolver ; six-gun ; six-shooter 	
 ryo_iki 	 region ; part 	 nature 
 taisei 	 ordering ; order ; ordination 	 accounting 
 seiho_ 	 recipe ; formula 	 cooking 
 kayo_ 	 ballad ; lay 	 literature 
 sho_seki 	 proof ; cogent evidence 	 mathematics 
 kicho_ 	 signature 	 real_estate 
 kakehiki 	 scheme ; strategy 	 mathematics 
 ho_ko_ 	 aroma ; fragrance ; perfume ; scent 	 valentines_day 
 munekazari 	 brooch ; broach ; breastpin 	
 hon'ya 	 bookshop ; bookstore ; bookstall 	 place 
 yoi 	 drunkenness ; inebriation ; inebriety ; intoxication ; tipsiness ; insobriety 	
 ahen 	 opium 	
 ko_to_ 	 larynx ; voice box 	 anatomy 
 sogai 	 obstacle ; obstruction 	 check 
 reibun 	 fame ; celebrity ; renown 	
 byo_rigaku 	 pathology 	
 bunan 	 safety 	 transport 
 yakugaku 	 pharmacy ; pharmaceutics 	 health 
 busshitsushugi 	 materialism ; physicalism 	
 geri 	 diarrhea ; diarrhoea ; looseness of the bowels ; looseness 	 symptom 
 hakkyo_ 	 insanity 	 disease 
 nyu_dakueki 	 emulsion 	 chemistry 
 daichi 	 reason ; ground 	 communication 
 ryo_ri 	 cooking ; cookery ; preparation 	
 fukumen 	 head covering ; veil 	 fashion 
 kizuku 	 construct ; build ; make 	 verb 
 munashii 	 bootless ; fruitless ; futile ; sleeveless ; vain 	
 kihoyo_ 	 diversion ; recreation 	 activity 
 meiyo 	 honor ; honour 	 character 
 yamaneko 	 lynx ; catamount 	 animal 
 juyo_ 	 consumption ; using up ; expenditure 	 transport 
 arigatami 	 worth 	 transport 
 ju_kyu_ 	 nineteen ; 19 ; xix 	 number 
 ho_shi 	 service 	 sports 
 bunko_gaku 	 spectroscopy ; spectrometry ; spectroscopic analysis ; spectrum analysis ; spectrographic analysis 	 astronomy 
 suppai 	 sour 	 descriptive_adjectives 
 murasakisuisho_ 	 amethyst 	 jewelry 
 sumi 	 corner 	 area 
 kieiru 	 disappear ; vanish ; go away 	
 kai 	 club ; social club ; society ; guild ; gild ; lodge ; order 	 society 
 sekkyokuteki 	 active 	 character 
 rokuro 	 pulley ; pulley-block ; pulley block ; block 	 device 
 taka 	 falcon 	 animal 
 machiukeru 	 expect ; look ; await ; wait 	 verb 
 yobiokosu 	 awaken ; wake ; waken ; rouse ; wake up ; arouse 	 alter 
 sho_hin 	 commodity ; trade good ; good 	 transport 
 kimyo_ 	 curious 	 descriptive_adjectives 
 funtai 	 powder 	 medication 
 wana 	 trap ; snare 	 device 
 miseshime 	 lesson 	
 haji 	 shame 	 feeling 
 inseki 	 meteorite 	 astronomy 
 hohei 	 infantry ; foot 	 military 
 wan 	 gulf 	
 saso_ 	 invite ; ask over ; ask round 	
 yo_sei 	 training ; preparation ; grooming 	 abstract 
 konrinzai 	 never ; ne'er 	
 nendai 	 historic period ; age 	 time 
 makotoni 	 actually ; really 	 adverb 
 dan 	 dais ; podium ; pulpit ; rostrum ; ambo ; stump ; soapbox 	 architecture 
 kotowaru 	 refuse ; reject ; pass up ; turn down ; decline 	 verb 
 fue 	 pipe ; tobacco pipe 	 object 
 sumi 	 charcoal ; wood coal 	 substance 
 to_sotsu 	 command ; bid ; bidding ; dictation 	 computers 
 hijo_ji 	 crisis 	 situation 
 saiseiriyo_ 	 recycling 	 economics 
 kanmon 	 barrier 	 construction 
 shashin 	 photograph ; photo ; exposure ; picture ; pic 	 object 
 yachi 	 swamp ; swampland 	 nature 
 teisuru 	 show ; demo ; exhibit ; present ; demonstrate 	 verb 
 do_i 	 vest ; waistcoat 	 clothes 
 don'yoku 	 avarice ; greed ; covetousness ; rapacity ; avaritia 	
 kyo_gijo_ 	 stadium ; bowl ; arena ; sports stadium 	 structure 
 kamiire 	 wallet ; billfold ; notecase ; pocketbook 	 clothes 
 kuda 	 tube ; tubing 	 construction 
 ikkakuju_ 	 unicorn 	 mythology 
 nejimawashi 	 screwdriver 	 object 
 ikidzukai 	 respiration ; internal respiration ; cellular respiration 	 biology 
 matsu 	 wait ; hold off ; hold back 	 verb 
 fukuro 	 sack ; poke ; paper bag ; carrier bag 	 construction 
 zettai 	 absolute 	
 ichidai 	 life ; lifetime ; life-time ; lifespan 	 time 
 kutsu_ 	 agony ; torment ; torture 	 hurt 
 in 	 rhyme ; rime 	 linguistics 
 sharibetsu 	 syrup ; sirup 	 health 
 kuraberu 	 compare 	 verb 
 okoru 	 happen ; hap ; go on ; pass off ; occur ; pass ; fall out ; come about ; take place 	 verb 
 no_yo_ 	 abscess 	 medicine 
 iseitai 	 isomer 	 chemical compound 
 sonraku 	 colony ; settlement 	 ecology 
 naya 	 barn 	 agriculture 
 ho_tai 	 bandage ; patch 	
 niashi 	 cargo ; lading ; freight ; load ; loading ; payload ; shipment ; consignment 	 transport 
 omoneru 	 flatter ; blandish 	
 yu_sho_ 	 championship ; title 	 sports 
 iiai 	 dispute ; difference ; difference of opinion ; conflict 	 psychology 
 kawaki 	 thirst ; thirstiness 	
 rukei 	 exile ; deportation ; expatriation ; transportation 	
 shimo 	 frost ; hoar ; hoarfrost ; rime 	 nature 
 on'in 	 phoneme 	 linguistics 
 kyo_haku 	 menace ; threat 	 ecology 
 itsuwa 	 anecdote 	 literature 
 kame 	 jug 	
 kumi 	 team ; squad 	 society 
 myakuhaku 	 pulse ; pulsation ; heartbeat ; beat 	 medicine 
 katakuchiiwashi 	 anchovy 	 animal 
 ko_seki 	 ore 	 mineral 
 go_kan 	 rape ; violation ; assault ; ravishment 	 law 
 iiai 	 quarrel ; wrangle ; row ; words ; run-in ; dustup 	 mechanical_engineering 
 tsuta 	 ivy ; common ivy ; English ivy ; Hedera helix 	 plant 
 semotsu 	 alms 	
 yuri 	 lily 	 botany 
 futa 	 lid 	 object 
 arashi 	 tempest 	 nature 
