 対 [たい] 	 against 	 preposition 
 キューバ共和国 	 Cuba ; Republic of Cuba 	 country 
 ナイジェリア 	 Nigeria ; Federal Republic of Nigeria 	 country 
 哲学 	 philosophy 	
 国際連合 	 United Nations ; UN 	 ecology 
 セネガル 	 Senegal ; Republic of Senegal 	 country 
 エストニア 	 Estonia ; Esthonia ; Republic of Estonia 	 country 
 アルミニウム 	 aluminum ; aluminium ; Al ; atomic number 13 	 chemistry 
 戦争 	 war ; warfare 	 society 
 ラトビア共和国 	 Latvia ; Republic of Latvia 	 country 
 フィリピン 	 Philippines ; Republic of the Philippines 	 country 
 カンボジア王国 	 Cambodia ; Kingdom of Cambodia ; Kampuchea 	 country 
 駱駝 [らくだ] 	 camel 	 animal 
 スーダン 	 Sudan ; Republic of the Sudan ; Soudan 	 country 
 バイオリン 	 violin ; fiddle 	 music 
 地震 	 earthquake ; quake ; temblor ; seism 	 nature 
 ユーロ 	 euro 	 finance 
 エチオピア 	 Ethiopia ; Federal Democratic Republic of Ethiopia ; Yaltopya ; Abyssinia 	 country 
 欧州連合 	 European Union ; EU ; European Community ; EC ; European Economic Community ; EEC ; Common Market ; Europe 	
 3月 	 March ; Mar 	
 火星 	 Mars ; Red Planet 	
 木星 	 Jupiter 	
 イエス・キリスト 	 Jesus ; Jesus of Nazareth ; the Nazarene ; Jesus Christ ; Christ ; Savior ; Saviour ; Good Shepherd ; Redeemer ; Deliverer 	
 ウクライナ 	 Ukraine ; Ukrayina 	 country 
 レバノン 	 Lebanon ; Lebanese Republic 	 country 
 南極 	 Antarctica ; Antarctic continent 	
 日曜日 [にちようび] 	 Sunday ; Lord's Day ; Dominicus ; Sun 	 time 
 8月 	 August ; Aug 	
 火山 	 vent ; volcano 	 nature 
 ベネズエラ 	 Venezuela ; Republic of Venezuela 	 country 
 インドネシア共和国 	 Indonesia ; Republic of Indonesia ; Dutch East Indies 	 country 
 大西洋 	 Atlantic ; Atlantic Ocean 	
 第二次世界大戦 	 World War II ; World War 2 ; Second World War 	
 茶 	 tea 	 food 
 ガーナ共和国 	 Ghana ; Republic of Ghana ; Gold Coast 	 country 
 精力 	 energy ; free energy 	 nature 
 クロアチア 	 Croatia ; Republic of Croatia ; Hrvatska 	 country 
 モナコ 	 Monaco ; Principality of Monaco 	 country 
 共和制 	 democracy ; republic ; commonwealth 	 society 
 イエメン 	 Yemen ; Republic of Yemen 	 country 
 ベトナム 	 Vietnam ; Socialist Republic of Vietnam ; Viet Nam ; Annam 	 country 
 カザフスタン共和国 	 Kazakhstan ; Republic of Kazakhstan ; Kazakstan ; Kazakh ; Kazak 	 country 
 エクアドル共和国 	 Ecuador ; Republic of Ecuador 	 country 
 オーストラリア 	 Australia 	
 ジンバブエ 	 Zimbabwe ; Republic of Zimbabwe ; Rhodesia ; Southern Rhodesia 	 country 
 チュニジア 	 Tunisia ; Republic of Tunisia 	 country 
 蝶 	 butterfly 	 animal 
 チェコ共和国 ; チェコ 	 Czech Republic 	 country 
 タンザニア 	 Tanzania ; United Republic of Tanzania 	 state 
 湖 	 lake 	 nature 
 経済学 [けいざいがく] 	 economics ; economic science ; political economy 	 mathematics 
 チョコレート 	 chocolate 	 food 
 ソマリア 	 Somalia 	 country 
 大韓民国 	 South Korea ; Republic of Korea 	
 鷲 [わし] 	 eagle ; bird of Jove 	 animal 
 幾何学 [きかがく] 	 geometry 	 mathematics 
 ミャンマー 	 Myanmar ; Union of Burma ; Burma 	 state 
 9月11日 	 9/11 ; 9-11 ; September 11 ; Sept. 11 ; Sep 11 	
 パラグアイ 	 Paraguay ; Republic of Paraguay 	 country 
 マルタ共和国 	 Malta ; Republic of Malta 	 country 
 宇宙 	 universe ; existence ; creation ; world ; cosmos ; macrocosm 	 astronomy 
 ダイヤモンド 	 diamond 	 chemistry 
 ウルグアイ 	 Uruguay 	 country 
 言語学 [げんごがく] 	 linguistics 	 linguistics 
 ガンビア共和国 	 Gambia ; The Gambia ; Republic of The Gambia 	 state 
 アンドラ公国 	 Andorra ; Principality of Andorra 	 country 
 北アメリカ 	 North America 	
 ヨルダン・ハシミテ王国 	 Jordan ; Hashemite Kingdom of Jordan 	 country 
 南アメリカ 	 South America 	
 ドイツ語 	 German ; High German ; German language 	 linguistics 
 サウジアラビア 	 Saudi Arabia ; Kingdom of Saudi Arabia 	 country 
 ボスニア・ヘルツェゴビナ 	 Bosnia and Herzegovina ; Republic of Bosnia and Herzegovina ; Bosna i Hercegovina ; Bosnia-Herzegovina ; Bosnia 	 country 
 スロバキア 	 Slovakia ; Slovak Republic 	 country 
 解剖学 	 anatomy ; general anatomy 	 biology 
 象 	 elephant 	 animal 
 マウス 	 mouse 	 animal 
 アラスカ州 	 Alaska ; Last Frontier ; AK 	
 カメルーン 	 Cameroon ; Republic of Cameroon ; Cameroun 	 country 
 リベリア 	 Liberia ; Republic of Liberia 	 country 
 自動車 	 car ; auto ; automobile ; machine ; motorcar 	 transport 
 ネパール 	 Nepal ; Kingdom of Nepal 	 country 
 ベナン 	 Benin ; Republic of Benin ; Dahomey 	 country 
 社会学 [しゃかいがく] 	 sociology 	
 ザンビア 	 Zambia ; Republic of Zambia ; Northern Rhodesia 	 country 
 パリ 	 Paris ; City of Light ; French capital ; capital of France 	 capital_city 
 フィジー 	 Fiji ; Republic of Fiji 	 country 
 動物学 	 zoology ; zoological science 	 biology 
 パナマ共和国 	 Panama ; Republic of Panama 	 country 
 モンゴル国 	 Mongolia ; Mongolian People's Republic ; Outer Mongolia 	 country 
 ボツワナ 	 Botswana ; Republic of Botswana 	 country 
 民主主義 	 democracy 	
 ブルキナファソ 	 Burkina Faso ; Upper Volta 	 country 
 代数 	 algebra 	 mathematics 
 バチカン 	 Vatican City ; Citta del Vaticano 	
 エリトリア国 	 Eritrea ; State of Eritrea 	 country 
 統計 [とうけい] 	 statistics 	 mathematics 
 土星 	 Saturn 	
 南アフリカ共和国 	 South Africa ; Republic of South Africa 	 country 
 マラウイ 	 Malawi ; Republic of Malawi ; Nyasaland 	 country 
 マリ 	 Mali ; Republic of Mali ; French Sudan 	 country 
 レモン 	 lemon 	 food 
 モーリシャス共和国 	 Mauritius ; Republic of Mauritius 	 country 
 チャド共和国 	 Chad ; Republic of Chad ; Tchad 	 country 
 メートル 	 meter ; metre ; m 	 mechanical_engineering 
 シリア 	 Syria ; Syrian Arab Republic 	 country 
 マレーシア 	 Malaysia ; Malaya 	 country 
 劇場 	 theater ; theatre ; house 	 city 
 モルディブ 	 Maldives ; Republic of Maldives 	 country 
 ハイチ 	 Haiti ; Republic of Haiti 	 country 
 医師 	 doctor ; doc ; physician ; MD ; Dr. ; medico 	 profession 
 ウガンダ 	 Uganda ; Republic of Uganda 	 country 
 ナミビア 	 Namibia ; Republic of Namibia ; South West Africa 	 country 
 ウズベキスタン 	 Uzbekistan ; Republic of Uzbekistan ; Uzbek 	 country 
 レオナルド・ダ・ヴィンチ 	 Leonardo ; Leonardo da Vinci ; da Vinci 	 person 
 朝鮮民主主義人民共和国 	 North Korea ; Democratic People's Republic of Korea ; D.P.R.K. ; DPRK 	
 アドルフ・ヒトラー 	 Hitler ; Adolf Hitler ; Der Fuhrer 	 person 
 リビア 	 Libya ; Socialist People's Libyan Arab Jamahiriya 	
 アイザック・ニュートン 	 Newton ; Isaac Newton ; Sir Isaac Newton 	 mathematics 
 建築学 	 architecture 	 construction 
 ホンジュラス共和国 	 Honduras ; Republic of Honduras 	 country 
 硫黄 [いおう] 	 sulfur ; S ; sulphur ; atomic number 16 	 nature 
 トルコ 	 Turkey ; Republic of Turkey 	 country 
 ルクセンブルク大公国 	 Luxembourg ; Grand Duchy of Luxembourg ; Luxemburg 	 country 
 大洋州 [たいようしゅう] 	 Oceania ; Oceanica 	
 兎 [うさぎ] 	 rabbit ; coney ; cony 	 animal 
 地中海 	 Mediterranean ; Mediterranean Sea 	
 青色 	 blue ; blueness 	 color 
 ワルシャワ 	 Warszawa ; Warsaw ; capital of Poland 	 capital_city 
 インド洋 	 Indian Ocean 	
 キプロス 	 Cyprus ; Republic of Cyprus 	 country 
 ヴォルフガング・アマデウス・モーツァルト 	 Mozart ; Wolfgang Amadeus Mozart 	 person 
 ジブチ 	 Djibouti ; Republic of Djibouti ; Afars and Issas 	 country 
 カリフォルニア州 	 California ; Golden State ; CA ; Calif. 	
 エジプト・アラブ共和国 	 Egypt ; Arab Republic of Egypt ; United Arab Republic 	 country 
 モザンビーク共和国 	 Mozambique ; Republic of Mozambique ; Mocambique 	 country 
 スコットランド 	 Scotland 	
 太平洋 	 Pacific ; Pacific Ocean 	
 文化 	 culture ; civilization ; civilisation 	 society 
 テニス 	 tennis ; lawn tennis 	 sports 
 モロッコ王国 	 Morocco ; Kingdom of Morocco ; Maroc ; Marruecos ; Al-Magrib 	 country 
 カール・マルクス 	 Marx ; Karl Marx 	 person 
 名詞 	 noun 	 linguistics 
 アラブ首長国連邦 	 United Arab Emirates 	 country 
 Linux 	 Linux 	 computers 
 ニュージーランド 	 New Zealand 	 country 
 温度 	 temperature 	 nature 
 モンテネグロ 	 Montenegro ; Crna Gora 	 country 
 ニカラグア 	 Nicaragua ; Republic of Nicaragua 	 country 
 ロンドン 	 London ; Greater London ; British capital ; capital of the United Kingdom 	 capital_city 
 セーシェル 	 Seychelles ; Republic of Seychelles 	 country 
 電話 	 telephone ; phone ; telephone set 	 device 
 クウェート 	 Kuwait ; State of Kuwait ; Koweit 	 country 
 ベルリン 	 Berlin ; German capital 	
 コスタリカ共和国 	 Costa Rica ; Republic of Costa Rica 	 country 
 スワジランド王国 	 Swaziland ; Kingdom of Swaziland 	 country 
 燐 [りん] 	 phosphorus ; P ; atomic number 15 	 chemical element 
 ルワンダ 	 Rwanda ; Rwandese Republic ; Ruanda 	 country 
 都市 	 city ; metropolis ; urban center 	 society 
 ドミニカ共和国 	 Dominican Republic 	 country 
 赤色 [せきしょく] 	 red ; redness 	 color 
 気体 	 gas ; gaseous state 	 physics 
 アラビア語 	 Arabic ; Arabic language 	 language 
 ブータン 	 Bhutan ; Kingdom of Bhutan 	 country 
 アルベルト・アインシュタイン 	 Einstein ; Albert Einstein 	 person 
 肺 	 lung 	 anatomy 
 狼 [おおかみ] 	 wolf 	 animal 
 縞馬 [しまうま] 	 zebra 	 animal 
 三つ [みっつ] 	 three ; 3 ; iii 	 number 
 生化学 	 biochemistry 	 biology 
 エルサルバドル 	 El Salvador ; Republic of El Salvador ; Salvador 	 country 
 太陽系 	 solar system 	 astronomy 
 NATO 	 North Atlantic Treaty Organization ; NATO 	
 革命 	 revolution 	
 モルドバ共和国 	 Moldova ; Republic of Moldova ; Moldavia 	 state 
 テレビ 	 television ; telecasting ; TV ; video 	 device 
 夢 	 dream ; dreaming 	
 バハマ 	 Bahamas ; Commonwealth of the Bahamas ; Bahama Islands 	
 サンスクリット語 	 Sanskrit ; Sanskritic language 	 language 
 麒麟 [きりん] 	 giraffe ; camelopard ; Giraffa camelopardalis 	 animal 
 海王星 	 Neptune 	
 塩素 	 chlorine ; Cl ; atomic number 17 	 chemical element 
 生態学 	 ecology ; bionomics ; environmental science 	 biology 
 銀行 	 depository financial institution ; bank ; banking concern ; banking company 	 city 
 冥王星 	 Pluto 	
 カルシウム 	 calcium ; Ca ; atomic number 20 	 chemistry 
 ハワイ州 	 Hawaii ; Hawai'i ; Aloha State ; HI 	
 フロリダ州 	 Florida ; Sunshine State ; Everglade State ; FL 	
 エルサレム 	 Jerusalem ; capital of Israel 	 capital_city 
 蛙 [かわず] 	 frog ; toad ; toad frog ; anuran ; batrachian ; salientian 	 animal 
 モスクワ 	 Moscow ; capital of the Russian Federation ; Russian capital 	 capital_city 
 ニューヨーク市 	 New York ; New York City ; Greater New York 	
 ローマ 	 Rome ; Roma ; Eternal City ; Italian capital ; capital of Italy 	 capital_city 
 北極海 	 Arctic Ocean 	
 文法 	 grammar 	 linguistics 
 周期表 	 periodic table 	 chemistry 
 鰐 [わに] 	 crocodile 	 animal 
 モーリタニア・イスラム共和国 	 Mauritania ; Islamic Republic of Mauritania ; Mauritanie ; Muritaniya 	 country 
 マドリード 	 Madrid ; capital of Spain ; Spanish capital 	 capital_city 
 アムステルダム 	 Amsterdam ; Dutch capital ; capital of The Netherlands 	 capital_city 
 スリナム 	 Suriname ; Republic of Suriname ; Surinam ; Dutch Guiana ; Netherlands Guiana 	 country 
 詩 	 poetry ; poesy ; verse 	 art 
 鹿 	 deer ; cervid 	 animal 
 タジキスタン 	 Tajikistan ; Republic of Tajikistan ; Tadzhikistan ; Tadzhik ; Tadjik ; Tajik 	 country 
 ピアノ 	 piano ; pianoforte ; forte-piano 	 music 
 三角形 	 triangle ; trigon ; trilateral 	 geometry 
 遺伝学 [いでんがく] 	 genetics ; genetic science 	 biology 
 トルクメニスタン 	 Turkmenistan ; Turkomen ; Turkmen ; Turkmenia 	 country 
 電子 	 electron ; negatron 	 physics 
 植物学 	 botany ; phytology 	 biology 
 自然界 	 nature 	 nature 
 フランクフルト・アム・マイン 	 Frankfurt on the Main ; Frankfurt ; Frankfort 	
 花 	 flower ; bloom ; blossom 	 biology 
 グアテマラ 	 Guatemala ; Republic of Guatemala 	 country 
 ラオス 	 Laos ; Lao People's Democratic Republic 	 state 
 電子工学 [でんしこうがく] 	 electronics 	 physics 
 八つ [やつ] 	 eight ; 8 ; viii 	 number 
 マダガスカル 	 Madagascar 	
 論理 	 logic 	 mathematics 
 クリストファー・コロンブス 	 Columbus ; Christopher Columbus ; Cristoforo Colombo ; Cristobal Colon 	 person 
 第一次世界大戦 	 World War I ; World War 1 ; Great War ; First World War ; War to End War 	
 ナイル川 	 Nile ; Nile River 	
 倫理学 [りんりがく] 	 ethics ; moral philosophy 	 law 
 リヒテンシュタイン 	 Liechtenstein ; Principality of Liechtenstein 	 country 
 北京 	 Beijing ; Peking ; Peiping ; capital of Red China 	 capital_city 
 フィデル・カストロ 	 Castro ; Fidel Castro ; Fidel Castro Ruz 	
 十 [とお] 	 ten ; 10 ; x 	 number 
 俳優 	 actor ; histrion ; player ; thespian ; role player 	 profession 
 トーゴ 	 Togo ; Togolese Republic 	 country 
 ギニア 	 Guinea ; Republic of Guinea ; French Guinea 	 country 
 1000 	 thousand ; one thousand ; 1000 ; M ; K ; chiliad ; G ; grand ; thou ; yard 	 number 
 バスケットボール 	 basketball ; basketball game ; hoops 	 sports 
 ヘリウム 	 helium ; He ; atomic number 2 	 chemical element 
 国家主義 	 patriotism ; nationalism 	 military 
 シェイクスピア 	 Shakespeare ; William Shakespeare ; Shakspere ; William Shakspere ; Bard of Avon 	 person 
 コンゴ民主共和国 	 Congo ; Democratic Republic of the Congo ; Zaire ; Belgian Congo 	 country 
 速度 	 speed ; velocity 	 mathematics 
 ギニアビサウ共和国 	 Guinea-Bissau ; Republic of Guinea-Bissau ; Guine-Bissau ; Portuguese Guinea 	 country 
 キルギス 	 Kyrgyzstan ; Kyrgyz Republic ; Kirghizia ; Kirgizia ; Kirghiz ; Kirgiz ; Kirghizstan ; Kirgizstan 	 country 
 カーボベルデ共和国 	 Cape Verde ; Republic of Cape Verde 	 country 
 シカゴ 	 Chicago ; Windy City 	 city 
 ノーベル賞 	 Nobel prize 	
 神話 	 mythology 	 accumulation 
 香港 	 Hong Kong 	
 共同墓地 	 cemetery ; graveyard ; burial site ; burial ground ; burying ground ; memorial park ; necropolis 	
 テキサス州 	 Texas ; Lone-Star State ; TX 	
 グリーンランド 	 Greenland ; Gronland ; Kalaallit Nunaat 	
 エスペラント 	 Esperanto 	 language 
 遊戯 	 game 	 mathematics 
 ブルネイ 	 Brunei ; Negara Brunei Darussalam 	
 アラバマ州 	 Alabama ; Heart of Dixie ; Camellia State ; AL 	
 ユダヤ教 	 Judaism 	
 カイロ 	 Cairo ; Al Qahira ; El Qahira ; Egyptian capital ; capital of Egypt 	 capital_city 
 嵐 	 storm ; violent storm 	 nature 
 狐 [きつね] 	 fox 	 mammal 
 クリスマス 	 Christmas ; Christmas Day ; Xmas ; Dec 25 	
 シエラレオネ 	 Sierra Leone ; Republic of Sierra Leone 	 country 
 バンコク 	 Bangkok ; capital of Thailand ; Krung Thep 	 capital_city 
 マハトマ・ガンディー 	 Gandhi ; Mahatma Gandhi ; Mohandas Karamchand Gandhi 	 person 
 大使館 	 embassy 	 diplomacy 
 工学 	 engineering ; engineering science ; applied science ; technology 	 abstract 
 ガイウス・ユリウス・カエサル 	 Caesar ; Julius Caesar ; Gaius Julius Caesar 	
 天王星 	 Uranus 	 astronomy 
 スカンディナヴィア 	 Scandinavia 	
 グレゴリオ暦 	 Gregorian calendar ; New Style calendar 	
 後天性免疫不全症候群 	 AIDS ; acquired immune deficiency syndrome 	 sex 
 腎臓 	 kidney 	 anatomy 
 ジャマイカ 	 Jamaica 	 country 
 イスラエル国 	 Israel ; State of Israel ; Yisrael ; Zion ; Sion 	 country 
 レソト王国 	 Lesotho ; Kingdom of Lesotho ; Basutoland 	 country 
 陽子 	 proton 	 physics 
 デオキシリボ核酸 	 deoxyribonucleic acid ; desoxyribonucleic acid ; DNA 	 genetics 
 天使 	 angel 	 religion 
 ウラジーミル・レーニン 	 Lenin ; Vladimir Lenin ; Nikolai Lenin ; Vladimir Ilyich Lenin ; Vladimir Ilich Lenin ; Vladimir Ilyich Ulyanov ; Vladimir Ilich Ulyanov 	 person 
 大きい 	 large ; big 	 adjective 
 ベリーズ 	 Belize ; British Honduras 	 country 
 リスボン 	 Lisbon ; Lisboa ; capital of Portugal 	 capital_city 
 ロサンゼルス 	 Los Angeles ; City of the Angels 	
 気象学 	 meteorology 	 physics 
 プラトン 	 Plato 	
 フランス革命 	 French Revolution 	
 亜鉛 	 zinc ; Zn ; atomic number 30 	 chemistry 
 ガイアナ 	 Guyana ; Co-operative Republic of Guyana ; British Guiana 	 country 
 人参 	 carrot ; cultivated carrot ; Daucus carota sativa 	 botany 
 ストックホルム 	 Stockholm ; capital of Sweden 	 capital_city 
 鉱物 	 mineral 	 material 
 ヒンドゥー教 	 Hinduism ; Hindooism 	 faith 
 ルイジアナ州 	 Louisiana ; Pelican State ; LA 	
 ウィーン 	 Vienna ; Austrian capital ; capital of Austria 	 capital_city 
 ベニート・ムッソリーニ 	 Mussolini ; Benito Mussolini ; Il Duce 	 person 
 ブエノスアイレス 	 Buenos Aires ; capital of Argentina 	 capital_city 
 オスロ 	 Oslo ; Christiania ; capital of Norway 	 capital_city 
 バグダード 	 Baghdad ; Bagdad ; capital of Iraq 	 capital_city 
 ダース 	 twelve ; 12 ; xii ; dozen 	 mathematics 
 水銀 	 mercury ; quicksilver ; hydrargyrum ; Hg ; atomic number 80 	 nature 
 コバルト 	 cobalt ; Co ; atomic number 27 	 chemistry 
 ペンシルバニア州 	 Pennsylvania ; Keystone State ; PA 	
 医学 	 medicine ; medical specialty 	 health 
 中央アフリカ ; 中央アフリカ共和国 	 Central African Republic ; Central Africa 	 country 
 オマーン 	 Oman ; Sultanate of Oman ; Muscat and Oman 	 country 
 キログラム 	 kilogram ; kg ; kilo 	 transport 
 算数 	 arithmetic 	 mathematics 
 ホメーロス 	 Homer 	
 蜘蛛 [くも] 	 spider 	 animal 
 ルートヴィヒ・ヴァン・ベートーヴェン 	 Beethoven ; van Beethoven ; Ludwig van Beethoven 	 person 
 コロラド州 	 Colorado ; Centennial State ; CO 	
 台湾 [たいわん] 	 Taiwan ; China ; Nationalist China ; Republic of China 	 country 
 バス 	 bus ; autobus ; coach ; charabanc ; double-decker ; jitney ; motorbus ; motorcoach ; omnibus ; passenger vehicle 	 transport 
 スリランカ民主社会主義共和国 	 Sri Lanka ; Democratic Socialist Republic of Sri Lanka ; Ceylon 	
 アレクサンドロス3世 	 Alexander ; Alexander the Great 	
 トニー・ブレア 	 Blair ; Tony Blair ; Anthony Charles Lynton Blair 	
 のみ 	 flea 	 animal 
 悪魔 	 devil ; fiend ; demon ; daemon ; daimon 	 mythology 
 ギター 	 guitar 	 object 
 空港 	 airport ; airdrome ; aerodrome ; drome 	 city 
 ガリレオ・ガリレイ 	 Galileo ; Galileo Galilei 	 person 
 ヴェネツィア 	 Venice ; Venezia 	
 プラハ 	 Prague ; Praha ; Prag ; Czech capital 	 city 
 チェ・ゲバラ 	 Guevara ; Ernesto Guevara ; Che Guevara 	 person 
 電気 	 electricity ; electrical energy 	 physics 
 イスタンブル 	 Istanbul ; Stambul ; Stamboul ; Constantinople 	 city 
 鴨 	 duck 	 animal 
 カリウム 	 potassium ; K ; atomic number 19 	 chemistry 
 ジョージ・W・ブッシュ 	 Bush ; George Bush ; George W. Bush ; George Walker Bush ; President Bush ; President George W. Bush ; Dubyuh ; Dubya 	
 浜 	 beach 	 nature 
 コンゴ共和国 	 Congo ; Republic of the Congo ; French Congo 	 country 
 気候 	 climate ; clime 	 nature 
 ミュンヘン 	 Munich ; Muenchen 	 city 
 ヨウ素 	 iodine ; iodin ; I ; atomic number 53 	 chemical element 
 バルセロナ 	 Barcelona 	 city 
 無神論 	 atheism ; godlessness 	
 リチウム 	 lithium ; Li ; atomic number 3 	 chemistry 
 カトヴィツェ 	 Katowice 	
 ジョージ・ワシントン 	 Washington ; George Washington ; President Washington 	 person 
 城 	 castle 	 city 
 キリバス共和国 	 Kiribati ; Republic of Kiribati 	 country 
 色 	 color ; colour ; coloring ; colouring 	 art 
 神学 	 theology ; divinity 	 field 
 ナウル共和国 	 Nauru ; Republic of Nauru 	 country 
 パプアニューギニア 	 Papua New Guinea ; Independent State of Papua New Guinea 	 country 
 小説 	 novel 	 literature 
 ピュタゴラス 	 Pythagoras 	 mathematics 
 ホウ素 	 boron ; B ; atomic number 5 	 chemical element 
 クロム 	 chromium ; Cr ; atomic number 24 	 chemistry 
 アイルランド 	 Ireland ; Republic of Ireland ; Irish Republic ; Eire 	 country 
 セルビア 	 Serbia and Montenegro ; Union of Serbia and Montenegro ; Yugoslavia ; Federal Republic of Yugoslavia ; Jugoslavija 	 state 
 パブロ・ピカソ 	 Picasso ; Pablo Picasso 	 person 
 ウィスコンシン州 	 Wisconsin ; Badger State ; WI 	
 サンマリノ 	 San Marino ; capital of San Marino 	 country 
 マルコ・ポーロ 	 Polo ; Marco Polo 	 person 
 武器 	 weapon ; arm ; weapon system 	 object 
 鳩 	 pigeon 	 animal 
 コムギ 	 wheat 	 cereal 
 ニッケル 	 nickel ; Ni ; atomic number 28 	 chemistry 
 クリケット 	 cricket 	
 リットル 	 liter ; litre ; l ; cubic decimeter ; cubic decimetre 	
 バルバドス 	 Barbados 	
 トロント 	 Toronto 	 city 
 タンパク質 	 protein 	 biology 
 齧歯類 [げっしるい] 	 rodent ; gnawer 	 animal 
 国際連合教育科学文化機関 	 United Nations Educational Scientific and Cultural Organization ; UNESCO 	 ecology 
 バルト海 	 Baltic ; Baltic Sea 	
 森林 	 forest ; wood ; woods 	 nature 
 フィレンツェ 	 Firenze ; Florence 	
 大学 	 university 	 education 
 フェルディナンド・マゼラン 	 Magellan ; Ferdinand Magellan ; Fernao Magalhaes 	 person 
 恐竜 	 dinosaur 	 animal 
 六 [ろく] 	 six ; 6 ; vi ; half dozen ; half-dozen 	 number 
 オハイオ州 	 Ohio ; Buckeye State ; OH 	
 ソフトウェア 	 software ; software program ; computer software ; software system ; software package ; package 	 computers 
 ジッダ 	 Jeddah ; Jed'dah ; Jiddah ; Jidda 	
 インフルエンザ 	 influenza ; flu ; grippe 	 disease 
 ロシア 	 Russia 	
 アリゾナ州 	 Arizona ; Grand Canyon State ; AZ 	
 アリストテレス 	 Aristotle 	 mathematics 
 ジークムント・フロイト 	 Freud ; Sigmund Freud 	 person 
 ネルソン・マンデラ 	 Mandela ; Nelson Mandela ; Nelson Rolihlahla Mandela 	
 熊 	 bear 	 animal 
 ヒンディー語 	 Hindi 	 language 
 復活祭 [ふっかつさい] 	 Easter 	
 シドニー 	 Sydney 	
 ヨシフ・スターリン 	 Stalin ; Joseph Stalin ; Iosif Vissarionovich Dzhugashvili 	 person 
 科学技術 	 technology ; engineering 	 society 
 バヌアツ 	 Vanuatu ; Republic of Vanuatu ; New Hebrides 	 state 
 ウェールズ 	 Wales ; Cymru ; Cambria 	
 アルフレッド・ノーベル 	 Nobel ; Alfred Nobel ; Alfred Bernhard Nobel 	 person 
 オペレーティング システム 	 operating system ; OS 	 computers 
 コモロ 	 Comoros ; Federal Islamic Republic of the Comoros 	 country 
 マリ・キュリー 	 Curie ; Marie Curie ; Madame Curie ; Marya Sklodowska 	 person 
 ヴァイキング 	 Viking 	
 アルゴリズム 	 algorithm ; algorithmic rule ; algorithmic program 	 mathematics 
 谷 	 valley ; vale 	 nature 
 ブログ 	 web log ; blog 	 computers 
 閏年 	 leap year ; intercalary year ; 366 days ; bissextile year 	
 魂 	 soul ; psyche 	 religion 
 東ティモール 	 East Timor 	
 大蒜 [にんにく] 	 garlic ; ail 	 food 
 アーカンソー州 	 Arkansas ; Land of Opportunity ; AR 	
 顕微鏡 	 microscope 	 object 
 九つ [ここのつ] 	 nine ; 9 ; ix 	 number 
 ウラジーミル・プーチン 	 Putin ; Vladimir Putin ; Vladimir Vladimirovich Putin 	
 ダブリン 	 Dublin ; Irish capital ; capital of Ireland 	 capital_city 
 ネオン 	 neon ; Ne ; atomic number 10 	 chemical element 
 分子 	 molecule 	 physics 
 赤道ギニア 	 Equatorial Guinea ; Republic of Equatorial Guinea ; Spanish Guinea 	 country 
 白鳥 	 swan 	 animal 
 滝 	 waterfall ; falls 	 nature 
 チェコスロバキア 	 Czechoslovakia 	 state 
 イマヌエル・カント 	 Kant ; Immanuel Kant 	 person 
 ヘルシンキ 	 Helsinki ; Helsingfors ; capital of Finland ; Finnish capital 	 capital_city 
 アンティグア・バーブーダ 	 Antigua and Barbuda 	
 ツバル 	 Tuvalu 	 state 
 干し草 	 hay 	 agriculture 
 鶏肉 	 chicken ; Gallus gallus 	 animal 
 溶岩 	 lava 	 nature 
 静脈 	 vein ; vena ; venous blood vessel 	 anatomy 
 肩 	 shoulder 	 anatomy 
 司教 	 bishop 	 profession 
 ネブラスカ州 	 Nebraska ; Cornhusker State ; NE 	
 虹 	 rainbow 	 weather 
 資本主義 	 capitalism ; capitalist economy 	 economics 
 エイブラハム・リンカーン 	 Lincoln ; Abraham Lincoln ; President Lincoln ; President Abraham Lincoln 	 person 
 有機化学 	 organic chemistry 	 chemistry 
 嘴 [くちばし] 	 beak ; bill ; neb ; nib ; pecker 	 anatomy 
 ブリュッセル 	 Bruxelles ; Brussels ; Belgian capital ; capital of Belgium 	 capital_city 
 シンガポール 	 Singapore ; Republic of Singapore 	 country 
 観光 	 tourism ; touristry 	 travelling 
 アメリカ合衆国大統領 	 President of the United States ; United States President ; President ; Chief Executive 	
 インディアナ州 	 Indiana ; Hoosier State ; IN 	
 ウィルス 	 virus 	 medicine 
 アラン・チューリング 	 Turing ; Alan Turing ; Alan Mathison Turing 	 person 
 バイエルン 	 Bavaria 	
 ファシズム 	 fascism 	
 リクガメ 	 tortoise 	 animal 
 オレゴン州 	 Oregon ; Beaver State ; OR 	
 土曜日 [どようび] 	 Saturday ; Sabbatum ; Sat 	 time 
 イリノイ州 	 Illinois ; Prairie State ; Land of Lincoln ; IL 	
 ノースカロライナ州 	 North Carolina ; Old North State ; Tar Heel State ; NC 	
 動詞 	 verb 	 linguistics 
 アーネスト・ヘミングウェイ 	 Hemingway ; Ernest Hemingway 	 person 
 仏陀 	 Buddha ; Siddhartha ; Gautama ; Gautama Siddhartha ; Gautama Buddha 	
 トリニダード・トバゴ 	 Trinidad and Tobago ; Republic of Trinidad and Tobago 	
 鯨 	 whale 	 animal 
 ギリシア文字 	 Greek alphabet 	
 小麦粉 	 flour 	 world 
 マルティン・ルター 	 Luther ; Martin Luther 	 person 
